,,,,,,,,
Original Set & Project,Part ID,Image,Part Description,File Link (SolidWorks 2023),Last Modified,Video Link,Difficulty,Tags
Volvo Wheel Loader (30433),15462,,Technic Axle 5 with Stop,15462 Technic Axle 5 with Stop.SLDPRT,25/09/2025 18:06:24,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,1 - Beginner,
Volvo Wheel Loader (30433),32002,,Technic Pin 3/4,32002 Technic Pin 3-4.SLDPRT,25/09/2025 21:19:29,Model LEGO Technic Pins in SolidWorks — Volvo Wheel Loader Ep 1,1 - Beginner,
Volvo Wheel Loader (30433),32073,,Technic Axle 5,32073 Technic Axle 5.SLDPRT,25/09/2025 21:08:38,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,1 - Beginner,
Volvo Wheel Loader (30433),39888,,"Technic Pin Long without Friction Ridges, with Anti-Roll Notch","39888 Technic Pin Long without Friction Ridges, with Anti-Roll Notch.SLDPRT",25/09/2025 21:25:48,Model LEGO Technic Pins in SolidWorks — Volvo Wheel Loader Ep 1,1 - Beginner,
Volvo Wheel Loader (30433),32123b,,Technic Bush 1-2 Smooth with Axle Hole Semi-Reduced,32123b Technic Bush 1-2 Smooth with Axle Hole Semi-Reduced.SLDPRT,25/09/2025 21:05:54,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,1 - Beginner,Revolve
Volvo Wheel Loader (30433),4274,,Technic Pin 1/2,4274 Technic Pin 1-2.SLDPRT,25/09/2025 21:20:10,Model LEGO Technic Pins in SolidWorks — Volvo Wheel Loader Ep 1,1 - Beginner,
Volvo Wheel Loader (30433),4519,,Technic Axle 3,4519 Technic Axle 3.SLDPRT,25/09/2025 21:08:40,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,1 - Beginner,
Volvo Wheel Loader (30433),62462,,Technic Pin Connector Round (Slotted),62462 Technic Pin Connector Round (Slotted).SLDPRT,25/09/2025 21:15:16,no video,1 - Beginner,
Volvo Wheel Loader (30433),10928,,Technic Gear 8 Tooth [Reinforced],10928 Technic Gear 8 Tooth [Reinforced].SLDPRT,25/09/2025 18:12:38,Model LEGO Worm & 8-Tooth Gears in SolidWorks — Volvo Wheel Loader Ep 4,2 - Intermediate,"Revolve, Symmetry, Pattern"
Volvo Wheel Loader (30433),11478,,Technic Beam 1 x 5 Thin with Axle Holes on Ends,11478 Technic Beam 1 x 5 Thin with Axle Holes on Ends.SLDPRT,25/09/2025 21:17:13,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,2 - Intermediate,Pattern
Volvo Wheel Loader (30433),24116,,Technic Panel Curved and Bent 6 x 3,24116 Technic Panel Curved and Bent 6 x 3.SLDPRT,25/09/2025 21:15:48,Model LEGO Technic Curved Side Panel in SolidWorks — Volvo Wheel Loader Ep 6,2 - Intermediate,Symmetry
Volvo Wheel Loader (30433),27940,,Technic Pin Connector Hub with 2 Axles,27940 Technic Pin Connector Hub with 2 Axles.SLDPRT,25/09/2025 21:08:40,Model LEGO Technic Axles & Bush in SolidWorks — Volvo Wheel Loader Ep 2,2 - Intermediate,"Symmetry, Boolean"
Volvo Wheel Loader (30433),32140,,Technic Beam 2 x 4 L-Shape Thick,32140 Technic Beam 2 x 4 L-Shape Thick.SLDPRT,25/09/2025 21:12:31,Model LEGO Technic Lift-Arms in SolidWorks — Volvo Wheel Loader Ep 3,2 - Intermediate,Pattern
